================================================================================
未归类药物清单
================================================================================

Health 组未归类药物（按使用频率排序）:
================================================================================

   1. 	                                                  (使用 1,760,637 次)
 785. 盐酸哌替啶注射液	                                          (使用 424 次)
 786. 艾洛松	                                               (使用 422 次)
 787. 丙戊酸钠	                                              (使用 422 次)
 788. 维乐福	                                               (使用 421 次)
 789. 蔗糖铁注射液	                                            (使用 421 次)
 790. 百为乐	                                               (使用 421 次)
 791. 安博灵	                                               (使用 421 次)
 792. 氯硝西泮片	                                             (使用 418 次)
 793. 依诺肝素(冠顺)	                                          (使用 417 次)
 794. 伊达力	                                               (使用 416 次)
 795. 呋塞米注射液(润弘)	                                        (使用 416 次)
 796. 羟苯磺酸钙	                                             (使用 413 次)
 797. 维生素d2软胶囊(水产)	                                      (使用 411 次)
 798. 维生素d2软胶囊	                                          (使用 411 次)
 799. 消旋山莨菪碱	                                            (使用 408 次)
 800. 肠内营养(TP)(瑞素)	                                      (使用 404 次)
 801. 诺和灵30r	                                            (使用 398 次)
 802. 盐酸氟桂利嗪片(中狮,潍坊)	                                    (使用 398 次)
 803. 盐酸氟桂利嗪片	                                           (使用 398 次)
 804. 过氧化氢	                                              (使用 396 次)
 805. 异丙嗪	                                               (使用 396 次)
 806. 华法林钠片	                                             (使用 394 次)
 807. 呋喃硫胺	                                              (使用 394 次)
 808. 盐酸可乐定片	                                            (使用 394 次)
 809. 复方薄荷脑	                                             (使用 394 次)
 810. 盐酸可乐定片(常州制药)	                                      (使用 394 次)
 811. 钆喷酸葡胺	                                             (使用 394 次)
 812. 兰地洛尔(泽醒)	                                          (使用 390 次)
 813. 阿莫西林	                                              (使用 389 次)
 814. 盐酸舍曲林片	                                            (使用 389 次)
 815. 亚胺培南西司他丁	                                          (使用 389 次)
 816. 琥珀酸普芦卡必利片	                                         (使用 388 次)
 817. 力洛	                                                (使用 388 次)
 818. 万爽力	                                               (使用 385 次)
 819. 力言卓	                                               (使用 385 次)
 820. 盐酸曲美他嗪缓释片	                                         (使用 385 次)
 821. 地奈德乳膏	                                             (使用 385 次)
 822. 素可立	                                               (使用 383 次)
 823. 盐酸异丙肾上腺素注射液(禾丰)	                                   (使用 383 次)
 824. 硫糖铝混悬凝胶	                                           (使用 383 次)
 825. 盐酸异丙肾上腺素注射液	                                       (使用 383 次)
 826. 格华止	                                               (使用 383 次)
 827. 叶酸	                                                (使用 381 次)
 828. 尿素	                                                (使用 381 次)
 829. 氯雷他定	                                              (使用 379 次)
 830. 生长抑素	                                              (使用 379 次)
 831. 注射用胸腺法新	                                           (使用 378 次)
 832. 复方氨基酸(18AA-Ⅴ-SF)(立命)	                              (使用 378 次)
 833. 安士杰	                                               (使用 377 次)
 834. 注射用头孢哌酮钠舒巴坦钠(1:1)	                                 (使用 377 次)
 835. 茵栀黄	                                               (使用 376 次)
 836. 瑞彤	                                                (使用 374 次)
 837. 博利康尼	                                              (使用 373 次)
 838. 利妥昔单抗	                                             (使用 373 次)
 839. 硫酸特布他林雾化液	                                         (使用 373 次)
 840. 葡萄糖酸钙注射液(倍特)	                                      (使用 372 次)
 841. 依那普利叶酸	                                            (使用 372 次)
 842. 骨化三醇(盖生源)	                                         (使用 370 次)
 843. 天麻(明天麻)	                                           (使用 368 次)
 844. 利托那韦	                                              (使用 367 次)
 845. 氨甲环酸注射液(扬子江,海陵)	                                   (使用 366 次)
 846. 妥布霉素地塞米松眼膏	                                        (使用 364 次)
 847. 维生素k1	                                             (使用 363 次)
 848. 氯沙坦钾氢氯噻嗪片(信谊)	                                     (使用 362 次)
 849. 卤米松乳膏(华邦)	                                         (使用 361 次)
 850. 卤米松乳膏	                                             (使用 361 次)
 851. 胰酶	                                                (使用 359 次)
 852. 氯化钠(齐都)	                                           (使用 358 次)
 853. 地高辛片	                                              (使用 358 次)
 854. 可力	                                                (使用 358 次)
 855. 生理氯化钠(生理氯化钠(塑料瓶))	                                 (使用 358 次)
 856. 芬太尼	                                               (使用 357 次)
 857. 尤文	                                                (使用 357 次)
 858. 曲唑酮	                                               (使用 357 次)
 859. ω-3鱼油脂肪乳注射液	                                       (使用 357 次)
 860. 非洛地平	                                              (使用 356 次)
 861. 克林霉素磷酸酯注射液	                                        (使用 355 次)
 862. 复方氨基酸(14AA-SF)(福命)	                                (使用 352 次)
 863. 去乙酰毛花苷注射液(倍特)	                                     (使用 351 次)
 864. 去乙酰毛花苷注射液	                                         (使用 351 次)
 865. 奥马环素(纽再乐)	                                         (使用 350 次)
 866. 氨氯地平阿托伐他汀	                                         (使用 348 次)
 867. 奥沙利铂	                                              (使用 345 次)
 868. 醋酸甲地孕酮分散片	                                         (使用 345 次)
 869. 宜利治	                                               (使用 345 次)
 870. 美司钠注射液	                                            (使用 344 次)
 871. 糠酸莫米松	                                             (使用 344 次)
 872. 美安	                                                (使用 344 次)
 873. 杰奇	                                                (使用 343 次)
 874. 特布他林	                                              (使用 343 次)
 875. 盐酸左氧氟沙星眼用凝胶	                                       (使用 343 次)
 876. 注射用甲泼尼龙琥珀酸钠(华邦)	                                   (使用 343 次)
 877. 妥布霉素地塞米松	                                          (使用 342 次)
 878. 静注人免疫球蛋白(ph4)(绿十字)	                                (使用 342 次)
 879. 碘帕醇	                                               (使用 341 次)
 880. 布地奈德福莫特罗	                                          (使用 341 次)
 881. 甘草酸二铵(宏菲)	                                         (使用 340 次)
 882. 夫西地酸	                                              (使用 339 次)
 883. 盐酸多奈哌齐片	                                           (使用 337 次)
 884. 尼卡地平	                                              (使用 336 次)
 885. 美卓乐	                                               (使用 336 次)
 886. 氢氯噻嗪片(力生)	                                         (使用 335 次)
 887. 安道生	                                               (使用 335 次)
 888. 缬沙坦氢氯噻嗪	                                           (使用 335 次)
 889. 注射用环磷酰胺	                                           (使用 335 次)
 890. 氯雷他定片(扬子江,海尼)	                                     (使用 334 次)
 891. 盐酸地尔硫卓缓释胶囊(ⅱ)	                                     (使用 333 次)
 892. 合贝爽	                                               (使用 333 次)
 893. 间苯三酚	                                              (使用 332 次)
 894. 欧乃派克	                                              (使用 331 次)
 895. 甘露特钠(九期一)	                                         (使用 330 次)
 896. 苯磺酸左旋氨氯地平片(施美)	                                    (使用 330 次)
 897. 马来酸氯苯那敏注射液(遂成)	                                    (使用 328 次)
 898. 马来酸氯苯那敏注射液	                                        (使用 328 次)
 899. 盐酸普拉克索片	                                           (使用 327 次)
 900. 复方乳酸	                                              (使用 327 次)
 901. 普拉克索(齐舒宁)	                                         (使用 327 次)
 902. 复方磺胺甲噁唑片	                                          (使用 326 次)
 903. 雷贝拉唑	                                              (使用 324 次)
 904. 福沙匹坦双葡甲胺(坦能)	                                      (使用 324 次)
 905. 重组人粒细胞刺激因子	                                        (使用 323 次)
 906. 阿昔洛韦片(科伦)	                                         (使用 323 次)
 907. 阿昔洛韦片	                                             (使用 323 次)
 908. 奥美沙坦	                                              (使用 322 次)
 909. 多沙普仑	                                              (使用 320 次)
 910. 丽泉	                                                (使用 318 次)
 911. 托拉塞米注射液	                                           (使用 318 次)
 912. 注射用青霉素钠(瑞阳)	                                       (使用 317 次)
 913. 维生素b6片(民生)	                                        (使用 316 次)
 914. 维生素b6片	                                            (使用 316 次)
 915. 川贝母(川贝)	                                           (使用 316 次)
 916. 红霉素	                                               (使用 315 次)
 917. 天晴宁	                                               (使用 315 次)
 918. 妥布霉素地塞米松滴眼液	                                       (使用 314 次)
 919. 丙戊酸钠缓释片	                                           (使用 314 次)
 920. 乐元	                                                (使用 313 次)
 921. 陈皮	                                                (使用 312 次)
 922. 酚磺乙胺注射液	                                           (使用 312 次)
 923. 酚磺乙胺注射液(金耀,天药)	                                    (使用 312 次)
 924. 依达拉奉	                                              (使用 311 次)
 925. 硫酸特布他林注射液	                                         (使用 305 次)
 926. 苏顺	                                                (使用 305 次)
 927. 丁二磺酸腺苷蛋氨酸肠溶片	                                      (使用 304 次)
 928. 黄芪	                                                (使用 304 次)
 929. 腹膜透析液(乳酸盐-g1.5%)(百特)	                              (使用 303 次)
 930. 腹膜透析液(乳酸盐-g1.5%)	                                  (使用 303 次)
 931. 复方甘草酸苷	                                            (使用 302 次)
 932. 肠内营养(TP-HE)(瑞高)	                                   (使用 302 次)
 933. 左旋氨氯地平	                                            (使用 297 次)
 934. 呋麻(呋喃西林麻黄碱)	                                       (使用 294 次)
 935. 人纤维蛋白	                                             (使用 294 次)
 936. 奥曲肽	                                               (使用 294 次)
 937. 日达仙	                                               (使用 294 次)
 938. 甘草	                                                (使用 292 次)
 939. 紫杉醇	                                               (使用 291 次)
 940. 丁二磺酸腺苷蛋氨酸	                                         (使用 291 次)
 941. 复合维生素b片(鹏鹞)	                                       (使用 291 次)
 942. 复合维生素b片	                                           (使用 291 次)
 943. 培哚普利吲达帕胺片	                                         (使用 291 次)
 944. 百普乐	                                               (使用 291 次)
 945. 左乙拉西坦片	                                            (使用 290 次)
 946. 黛力新	                                               (使用 289 次)
 947. 尿激酶	                                               (使用 288 次)
 948. 珂丹	                                                (使用 288 次)
 949. 恩他卡朋片	                                             (使用 288 次)
 950. 优泌林70/30	                                          (使用 287 次)
 951. 复方嗜酸乳杆菌	                                           (使用 287 次)
 952. 盐酸罂粟碱注射液(倍特)	                                      (使用 287 次)
 953. 盐酸胺碘酮注射液	                                          (使用 287 次)
 954. 秋水仙碱片(昆药)	                                         (使用 286 次)
 955. 秋水仙碱片	                                             (使用 286 次)
 956. 斯沃	                                                (使用 286 次)
 957. 左乙拉西坦片(京新)	                                        (使用 286 次)
 958. 维生素b1注射液	                                          (使用 285 次)
 959. 维生素b1注射液(民生)	                                      (使用 285 次)
 960. 坦通	                                                (使用 284 次)
 961. 厄多司坦胶囊	                                            (使用 284 次)
 962. 硫普罗宁	                                              (使用 282 次)
 963. 喹硫平	                                               (使用 281 次)
 964. 菊花(杭菊)	                                            (使用 280 次)
 965. 胸腺法新	                                              (使用 279 次)
 966. 氟桂利嗪	                                              (使用 279 次)
 967. 还原型谷胱甘肽	                                           (使用 278 次)
 968. 头孢他啶	                                              (使用 277 次)
 969. 盐酸法舒地尔注射液	                                         (使用 277 次)
 970. 川威	                                                (使用 277 次)
 971. 齐沙	                                                (使用 274 次)
 972. 注射用奥沙利铂	                                           (使用 274 次)
 973. 声诺维	                                               (使用 273 次)
 974. 注射用六氟化硫微泡	                                         (使用 273 次)
 975. 来可信	                                               (使用 273 次)
 976. 丁卡因	                                               (使用 272 次)
 977. 胺碘酮	                                               (使用 272 次)
 978. 米拉贝隆	                                              (使用 272 次)
 979. 鲑降钙素注射液	                                           (使用 272 次)
 980. 泽菲	                                                (使用 270 次)
 981. 注射用盐酸吉西他滨	                                         (使用 270 次)
 982. 氟康唑胶囊	                                             (使用 269 次)
 983. 注射用醋酸卡泊芬净	                                         (使用 268 次)
 984. 密盖息	                                               (使用 268 次)
 985. 唑吡坦	                                               (使用 268 次)
 986. 科赛斯	                                               (使用 268 次)
 987. 易善复	                                               (使用 265 次)
 988. 钆喷酸葡胺注射液	                                          (使用 265 次)
 989. 多烯磷脂酰胆碱胶囊	                                         (使用 265 次)
 990. 华法林钠片(齐鲁)	                                         (使用 264 次)
 991. 托伐普坦片	                                             (使用 263 次)
 992. 苏麦卡	                                               (使用 263 次)
 993. 喹硫平(喹硫平(合肥))	                                      (使用 262 次)
 994. 注射用盐酸溴己新	                                          (使用 262 次)
 995. 伏枝	                                                (使用 262 次)
 996. 注射用丁二磺酸腺苷蛋氨酸	                                      (使用 261 次)
 997. 启维	                                                (使用 260 次)
 998. 阿莫西林(石药,中诺)	                                       (使用 259 次)
 999. 氨甲环酸	                                              (使用 256 次)
1000. 克林霉素磷酸酯注射液(天台山)	                                   (使用 255 次)
1001. 艾司洛尔	                                              (使用 254 次)
1002. 玻璃酸钠注射液(昊海)	                                       (使用 253 次)
1003. 佐匹克隆	                                              (使用 253 次)
1004. 匹维溴铵	                                              (使用 252 次)
1005. 亚甲蓝	                                               (使用 250 次)
1006. 草酸艾司西酞普兰片	                                         (使用 249 次)
1007. 凝血酶冻干粉	                                            (使用 248 次)
1008. 凝血酶冻干粉(杭康)	                                        (使用 248 次)
1009. 茯苓	                                                (使用 248 次)
1010. 色甘萘甲那敏(顺妥敏)	                                       (使用 248 次)
1011. 前列地尔	                                              (使用 248 次)
1012. 替硝唑片	                                              (使用 247 次)
1013. 托特罗定	                                              (使用 247 次)
1014. 替硝唑片(科伦)	                                          (使用 247 次)
1015. 利奈唑胺片	                                             (使用 246 次)
1016. 蛇毒血凝酶注射液	                                          (使用 246 次)
1017. 速乐涓	                                               (使用 246 次)
1018. 吲哚菁绿	                                              (使用 245 次)
1019. 尔同舒	                                               (使用 243 次)
1020. 罗氏芬	                                               (使用 243 次)
1021. 盐酸胺碘酮片	                                            (使用 243 次)
1022. 复方磺胺甲噁唑片(新亚,闵行)	                                   (使用 243 次)
1023. 苯溴马隆片	                                             (使用 243 次)
1024. 维生素b1	                                             (使用 243 次)
1025. 阿洛西林	                                              (使用 242 次)
1026. 复方氨基酸注射液(20aa)	                                    (使用 242 次)
1027. 硫酸阿米卡星注射液	                                         (使用 242 次)
1028. 丰诺安	                                               (使用 242 次)
1029. 布地奈德鼻喷雾剂	                                          (使用 240 次)
1030. 雷诺考特	                                              (使用 240 次)
1031. 西洛他唑	                                              (使用 240 次)
1032. 自备药（针剂）	                                           (使用 240 次)
1033. 氢氯噻嗪	                                              (使用 239 次)
1034. 非洛地平片	                                             (使用 236 次)
1035. 尼可地尔	                                              (使用 236 次)
1036. 恩必普	                                               (使用 235 次)
1037. 硫酸镁葡萄糖注射液	                                         (使用 235 次)
1038. 丁苯酞软胶囊	                                            (使用 235 次)
1039. 瑞舒伐他汀(瑞舒伐他汀(5mg)(山德士))	                            (使用 234 次)
1040. 利奈唑胺葡萄糖注射液	                                        (使用 233 次)
1041. 草酸艾司西酞普兰片(康恩贝,金华)	                                 (使用 232 次)
1042. 维达莎	                                               (使用 231 次)
1043. 注射用阿扎胞苷	                                           (使用 231 次)
1044. 重组人促红素	                                            (使用 231 次)
1045. 诺邦	                                                (使用 230 次)
1046. 克拉霉素缓释片	                                           (使用 230 次)
1047. 右美沙芬愈创甘油醚糖浆	                                       (使用 229 次)
1048. 右美沙芬愈创甘油醚糖浆(泰华)	                                   (使用 229 次)
1049. 米曲菌胰酶	                                             (使用 228 次)
1050. 酚麻美敏	                                              (使用 227 次)
1051. 复方盐酸伪麻黄碱(新康泰克)	                                    (使用 226 次)
1052. 复方炉甘石	                                             (使用 225 次)
1053. 甲硝唑	                                               (使用 224 次)
1054. 曲美他嗪	                                              (使用 223 次)
1055. 维奈克拉	                                              (使用 222 次)
1056. 爱西特	                                               (使用 221 次)
1057. 药用炭片	                                              (使用 221 次)
1058. 碘帕醇注射液	                                            (使用 220 次)
1059. 辛伐他汀片	                                             (使用 220 次)
1060. 京必舒新	                                              (使用 220 次)
1061. 乳酸钠林格	                                             (使用 220 次)
1062. 哌替啶	                                               (使用 219 次)
1063. 注射用比阿培南	                                           (使用 219 次)
1064. 猪源纤维蛋白粘合剂(倍绣胶)	                                    (使用 218 次)
1065. 氟康唑	                                               (使用 218 次)
1066. 脂肪乳氨基酸(17)葡萄糖(11%)注射液	                             (使用 218 次)
1067. 卡文	                                                (使用 218 次)
1068. 昂丹司琼(枢丹)	                                          (使用 217 次)
1069. 磷酸奥司他韦胶囊	                                          (使用 216 次)
1070. 蔗糖铁	                                               (使用 215 次)
1071. 注射用盐酸表柔比星	                                         (使用 214 次)
1072. 班布特罗	                                              (使用 214 次)
1073. 利奈唑胺葡萄糖注射液(正大,天晴)	                                 (使用 213 次)
1074. 门冬氨酸鸟氨酸(雅博司)	                                      (使用 212 次)
1075. 链霉蛋白酶(得佑)	                                         (使用 212 次)
1076. 肠内营养复配乳清蛋白粉（纽曲星）	                                  (使用 212 次)
1077. 依巴斯汀片	                                             (使用 211 次)
1078. 海曲泊帕乙醇胺(恒曲)	                                       (使用 210 次)
1079. 锝[99mTc]亚甲基二膦酸盐	                                   (使用 210 次)
1080. 护肝	                                                (使用 210 次)
1081. 重酒石酸间羟胺注射液(永康)	                                    (使用 209 次)
1082. 重酒石酸间羟胺注射液	                                        (使用 209 次)
1083. 注射用卡铂	                                             (使用 209 次)
1084. 注射用卡铂(智同,辅仁)	                                      (使用 209 次)
1085. 络活喜	                                               (使用 208 次)
1086. 人纤维蛋白原	                                            (使用 208 次)
1087. 维生素d2	                                             (使用 206 次)
1088. 静注人免疫球蛋白(ph4)(卫光)	                                 (使用 202 次)
1089. 邦亭	                                                (使用 202 次)
1090. 注射用白眉蛇毒血凝酶	                                        (使用 202 次)
1091. 结核菌素纯蛋白衍生物(TB-PPD)	                                (使用 202 次)
1092. 安信	                                                (使用 202 次)
1093. 复方甘草酸苷(凯因)	                                        (使用 201 次)
1094. 百令	                                                (使用 200 次)
1095. 党参	                                                (使用 200 次)
1096. 腹膜透析液	                                             (使用 200 次)
1097. 华法林	                                               (使用 199 次)
1098. 硫酸氨基葡萄糖胶囊	                                         (使用 199 次)
1099. 伊索佳	                                               (使用 199 次)
1100. 可乐定	                                               (使用 198 次)
1101. 肠内营养糖尿病型肠内营养制剂（益力佳）	                               (使用 198 次)
1102. 硫酸羟氯喹片	                                            (使用 198 次)
1103. [肠内]乳清蛋白-立适康300g	                                  (使用 198 次)
1104. 复方硫酸新霉素(口腔溃疡药膜1号)	                                 (使用 198 次)
1105. 异丙肾上腺素	                                            (使用 198 次)
1106. 复方硫酸新霉素滴眼液	                                        (使用 198 次)
1107. 阿米福汀	                                              (使用 197 次)
1108. 力能	                                                (使用 197 次)
1109. 中/长链脂肪乳注射液(c6-24)	                                 (使用 197 次)
1110. 曲莱	                                                (使用 197 次)
1111. 注射用氨磷汀	                                            (使用 197 次)
1112. 垂体后叶注射液(康普)	                                       (使用 197 次)
1113. 奥卡西平片	                                             (使用 197 次)
1114. 垂体后叶注射液	                                           (使用 197 次)
1115. 草药方代煎(常规)7帖	                                       (使用 196 次)
1116. 永喜	                                                (使用 196 次)
1117. 盐酸多西环素肠溶胶囊	                                        (使用 196 次)
1118. 阿托伐他汀钙片	                                           (使用 195 次)
1119. 立普妥	                                               (使用 195 次)
1120. 舍曲林	                                               (使用 195 次)
1121. 地奈德	                                               (使用 194 次)
1122. 普芦卡必利	                                             (使用 194 次)
1123. 复方托吡卡胺滴眼液	                                         (使用 193 次)
1124. 硫糖铝	                                               (使用 193 次)
1125. 西维来司他钠(希为纳*)	                                      (使用 190 次)
1126. 维生素b1片	                                            (使用 190 次)
1127. 氯沙坦钾氢氯噻嗪(倍怡)	                                      (使用 190 次)
1128. 同奥	                                                (使用 190 次)
1129. 亚叶酸钙注射液	                                           (使用 190 次)
1130. 维生素b1片(瑞新)	                                        (使用 190 次)
1131. 思博海	                                               (使用 189 次)
1132. 注射用丙戊酸钠(新马)	                                       (使用 189 次)
1133. 盐酸度洛西汀肠溶胶囊	                                        (使用 188 次)
1134. 欣百达	                                               (使用 188 次)
1135. 玻璃酸钠滴眼液(普什)	                                       (使用 187 次)
1136. 玻璃酸钠滴眼液	                                           (使用 187 次)
1137. 多潘立酮片(辅仁)	                                         (使用 186 次)
1138. 多潘立酮片	                                             (使用 186 次)
1139. [肠内]低糖型-益力佳SR400g	                                 (使用 186 次)
1140. 汉利康	                                               (使用 184 次)
1141. 甲巯咪唑片	                                             (使用 183 次)
1142. 赛治	                                                (使用 183 次)
1143. 卤米松	                                               (使用 183 次)
1144. 硫酸阿米卡星注射液(诚意)	                                     (使用 183 次)
1145. 异烟肼片	                                              (使用 182 次)
1146. ω-3鱼油脂肪乳	                                          (使用 182 次)
1147. 艾达生	                                               (使用 182 次)
1148. 异烟肼片(民生)	                                          (使用 182 次)
1149. 吲达帕胺	                                              (使用 182 次)
1150. 克林霉素	                                              (使用 182 次)
1151. 芙美松	                                               (使用 181 次)
1152. 多奈哌齐	                                              (使用 181 次)
1153. 盐酸文拉法辛缓释胶囊	                                        (使用 181 次)
1154. 沉香曲	                                               (使用 180 次)
1155. 多种油脂肪乳注射液(c6～24)(费森尤斯,卡比,华瑞)	                      (使用 180 次)
1156. 去乙酰毛花苷	                                            (使用 180 次)
1157. 多种油脂肪乳注射液(c6～24)	                                  (使用 180 次)
1158. 地高辛	                                               (使用 179 次)
1159. 匹纳普	                                               (使用 179 次)
1160. 盐酸文拉法辛缓释胶囊(万生)	                                    (使用 179 次)
1161. 伏立康唑片	                                             (使用 179 次)
1162. 硝酸异山梨酯片	                                           (使用 179 次)
1163. 硝酸异山梨酯片(衡山)	                                       (使用 179 次)
1164. 纷乐	                                                (使用 178 次)
1165. 美司钠	                                               (使用 176 次)
1166. 聚乙二醇化重组人粒细胞刺激因子(新瑞白)	                              (使用 176 次)
1167. 复方芦丁片(大红鹰)	                                        (使用 175 次)
1168. 复方芦丁片	                                             (使用 175 次)
1169. [肠内]奥海恩300g	                                       (使用 174 次)
1170. 阿普唑仑片(齐鲁)	                                         (使用 174 次)
1171. 乙酰半胱氨酸注射液	                                         (使用 174 次)
1172. 甲地孕酮	                                              (使用 174 次)
1173. 阿普唑仑片	                                             (使用 174 次)
1174. 阿思欣泰	                                              (使用 174 次)
1175. 聚乙二醇	                                              (使用 172 次)
1176. 巴曲酶注射液	                                            (使用 172 次)
1177. 信达怡	                                               (使用 172 次)
1178. 东菱迪芙	                                              (使用 172 次)
1179. 盐酸贝那普利片	                                           (使用 172 次)
1180. 环磷酰胺	                                              (使用 170 次)
1181. 美金刚	                                               (使用 170 次)
1182. 低钙腹膜透析液(乳酸盐-g1.5%)(百特)	                            (使用 169 次)
1183. 泰毕全	                                               (使用 169 次)
1184. 静注人免疫球蛋白(ph4)(泰邦)	                                 (使用 169 次)
1185. 阿昔洛韦	                                              (使用 169 次)
1186. 达比加群酯胶囊	                                           (使用 169 次)
1187. 伏立康唑	                                              (使用 169 次)
1188. 低钙腹膜透析液(乳酸盐-g1.5%)	                                (使用 169 次)
1189. 大扶康	                                               (使用 168 次)
1190. 克之	                                                (使用 168 次)
1191. 氯苯那敏	                                              (使用 167 次)
1192. 复方磺胺甲噁唑	                                           (使用 166 次)
1193. 普拉克索	                                              (使用 164 次)
1194. 赛德萨	                                               (使用 164 次)
1195. 氟替美维(全再乐)	                                         (使用 164 次)
1196. 注射用阿糖胞苷	                                           (使用 164 次)
1197. 妥立士宁	                                              (使用 162 次)
1198. 肠内营养短肽型全营养素（力存优太）	                                 (使用 162 次)
1199. 艾朵	                                                (使用 162 次)
1200. 腺苷注射液	                                             (使用 162 次)
1201. 注射用苄星青霉素(华北)	                                      (使用 160 次)
1202. 注射用苄星青霉素	                                          (使用 160 次)
1203. 左氧氟沙星注射液	                                          (使用 159 次)
1204. 左氧氟沙星注射液(福安,天衡)	                                   (使用 159 次)
1205. 酚磺乙胺	                                              (使用 159 次)
1206. 天普洛安	                                              (使用 159 次)
1207. 抗病毒药(抗病毒药(赠))	                                     (使用 158 次)
1208. 阿司匹林肠溶片(辰欣)	                                       (使用 157 次)
1209. 盐酸洛哌丁胺胶囊	                                          (使用 157 次)
1210. 乌司他丁注射液	                                           (使用 157 次)
1211. 盐酸洛哌丁胺胶囊(朝晖)	                                      (使用 157 次)
1212. 苯溴马隆	                                              (使用 157 次)
1213. 熊去氧胆酸片(人福)	                                        (使用 156 次)
1214. 人凝血酶原复合物	                                          (使用 156 次)
1215. 盐酸纳洛酮注射液	                                          (使用 156 次)
1216. 盐酸氟桂利嗪胶囊	                                          (使用 156 次)
1217. 西比灵	                                               (使用 156 次)
1218. 熊去氧胆酸片	                                            (使用 156 次)
1219. 盐酸纳洛酮注射液(吴中)	                                      (使用 156 次)
1220. 康舒宁	                                               (使用 156 次)
1221. 威凡	                                                (使用 156 次)
1222. 替普瑞酮胶囊(卫材)	                                        (使用 155 次)
1223. 注射用雷替曲塞	                                           (使用 155 次)
1224. 赛维健	                                               (使用 155 次)
1225. 硫酸鱼精蛋白注射液(第一生化,上药)	                                (使用 154 次)
1226. 硫酸鱼精蛋白注射液	                                         (使用 154 次)
1227. 盐酸替罗非班氯化钠注射液	                                      (使用 153 次)
1228. 复方氨林巴比妥注射液	                                        (使用 153 次)
1229. 紫杉醇注射液	                                            (使用 152 次)
1230. 爱益	                                                (使用 152 次)
1231. 米氮平片	                                              (使用 152 次)
1232. 双星明	                                               (使用 152 次)
1233. [肠内]枢能(医用电解质)200ml	                                (使用 152 次)
1234. 托吡卡胺滴眼液	                                           (使用 152 次)
1235. 注射用硫酸长春地辛	                                         (使用 152 次)
1236. 硫酸依替米星氯化钠注射液	                                      (使用 152 次)
1237. 西艾克	                                               (使用 152 次)
1238. 卡纳琳	                                               (使用 151 次)
1239. 帕夫林	                                               (使用 151 次)
1240. 白芍总苷胶囊	                                            (使用 151 次)
1241. 纳米炭混悬注射液	                                          (使用 151 次)
1242. 顺铂注射液	                                             (使用 150 次)
1243. 六氟化硫	                                              (使用 150 次)
1244. 诺欣	                                                (使用 150 次)
1245. 吗啉硝唑氯化钠(迈灵达)	                                      (使用 150 次)
1246. 乙酰半胱氨酸颗粒	                                          (使用 149 次)
1247. 盐酸多奈哌齐片(华海)	                                       (使用 148 次)
1248. 麦冬	                                                (使用 148 次)
1249. 玫瑰花	                                               (使用 148 次)
1250. 柴胡	                                                (使用 148 次)
1251. 佩兰	                                                (使用 148 次)
1252. 瑞那替	                                               (使用 148 次)
1253. 盐酸帕罗西汀片	                                           (使用 148 次)
1254. 富马酸酮替芬分散片	                                         (使用 148 次)
1255. 乙己苏	                                               (使用 146 次)
1256. 复合维生素b	                                            (使用 146 次)
1257. 秋水仙碱	                                              (使用 146 次)
1258. 培哚普利吲达帕胺	                                          (使用 146 次)
1259. 易达生	                                               (使用 145 次)
1260. 恩他卡朋	                                              (使用 144 次)
1261. 黄精(浙黄精)	                                           (使用 144 次)
1262. 炒白术(麸炒白术)	                                         (使用 144 次)
1263. 左乙拉西坦	                                             (使用 144 次)
1264. 高锰酸钾外用片(康福生)	                                      (使用 142 次)
1265. 厄多司坦	                                              (使用 142 次)
1266. 佳维乐	                                               (使用 142 次)
1267. 高锰酸钾外用片	                                           (使用 142 次)
1268. 吉西他滨	                                              (使用 141 次)
1269. 黄芩	                                                (使用 140 次)
1270. 注射用替加环素	                                           (使用 139 次)
1271. 盐酸羟考酮缓释片	                                          (使用 139 次)
1272. 奥施康定	                                              (使用 139 次)
1273. 达美康	                                               (使用 139 次)
1274. 法舒地尔	                                              (使用 139 次)
1275. 盐酸替罗非班氯化钠注射液(石药)	                                  (使用 138 次)
1276. 人纤维蛋白原(博雅)	                                        (使用 138 次)
1277. 翰唯	                                                (使用 137 次)
1278. 维生素b12注射液	                                         (使用 137 次)
1279. 注射用特利加压素	                                          (使用 137 次)
1280. 鲑鱼降钙素	                                             (使用 137 次)
1281. 奥沙利铂注射液	                                           (使用 137 次)
1282. 达芬霖	                                               (使用 136 次)
1283. 盐酸羟甲唑啉喷雾剂	                                         (使用 136 次)
1284. 托伐普坦	                                              (使用 136 次)
1285. 卡泊芬净	                                              (使用 136 次)
1286. 莫那匹韦(莫那匹韦(赠))	                                     (使用 136 次)
1287. 山药(温山药)	                                           (使用 136 次)
1288. 尼可刹米注射液	                                           (使用 135 次)
1289. 氟哌利多注射液(海普,旭东)	                                    (使用 134 次)
1290. 氟哌利多注射液	                                           (使用 134 次)
1291. 恩替卡韦(恩替卡韦（正大天晴）)	                                  (使用 134 次)
1292. 氢化泼尼松注射液(国药)	                                      (使用 134 次)
1293. 氢化泼尼松注射液	                                          (使用 134 次)
1294. 单硝酸异山梨酯注射液	                                        (使用 133 次)
1295. 单硝酸异山梨酯注射液(双鹤,利民,华润)	                              (使用 133 次)
1296. 多烯磷脂酰胆碱	                                           (使用 133 次)
1297. 吗啡	                                                (使用 133 次)
